    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.18s
     Running unittests src\lib.rs (C:\Users\bajra\.codex-target\nbsr-p1f\debug\deps\nbsr_transport-e554f6a20969ada2.exe)
P1F_SOAK elapsed_ms=0 attempts=1 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=1000 attempts=35728 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=2000 attempts=71139 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=3000 attempts=106657 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=4000 attempts=142499 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=5000 attempts=178292 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=6000 attempts=214218 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=7000 attempts=249721 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=8000 attempts=285798 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=9000 attempts=321043 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=10000 attempts=357080 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=11000 attempts=392602 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=12000 attempts=427827 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=13000 attempts=463971 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=14000 attempts=500236 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=15000 attempts=535885 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=16000 attempts=571939 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=17000 attempts=607335 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=18000 attempts=643241 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=19000 attempts=679390 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=20000 attempts=714912 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=21000 attempts=750100 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=22000 attempts=785585 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=23000 attempts=821552 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=24000 attempts=857201 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=25000 attempts=893510 entries=10000 capacity=14336
