"elapsed_seconds","process_count","working_set_bytes","private_bytes"
"0.241","3","43544576","11956224"
"1.366","4","50028544","13299712"
"2.468","4","50028544","13299712"
"3.531","4","50028544","13299712"
"4.601","4","50028544","13299712"
"5.68","4","50028544","13299712"
"6.754","4","50028544","13299712"
"7.816","4","50028544","13299712"
"8.89","4","50028544","13299712"
"9.964","4","50028544","13299712"
"11.04","4","50028544","13299712"
"12.129","4","50028544","13299712"
"13.2","4","50028544","13299712"
"14.267","4","50028544","13299712"
"15.339","4","50028544","13299712"
"16.408","4","50028544","13299712"
"17.48","4","50028544","13299712"
"18.544","4","50028544","13299712"
"19.608","4","50028544","13299712"
"20.689","4","50028544","13299712"
"21.762","4","50028544","13299712"
"22.842","4","50028544","13299712"
"23.911","4","50028544","13299712"
"24.985","4","50028544","13299712"
"26.061","4","50028544","13299712"
"27.141","4","50028544","13299712"
"28.219","4","50028544","13299712"
"29.297","4","50028544","13299712"
"30.362","4","49860608","12980224"
"31.439","4","49860608","12980224"
"32.524","4","49860608","12980224"
"33.606","4","49860608","12980224"
"34.684","4","49860608","12980224"
"35.758","4","49860608","12980224"
"36.837","4","49860608","12980224"
"37.914","4","49860608","12980224"
"38.991","4","49860608","12980224"
"40.07","4","49860608","12980224"
"41.148","4","49860608","12980224"
"42.229","4","49860608","12980224"
"43.299","4","49860608","12980224"
"44.377","4","49860608","12980224"
"45.442","4","49860608","12980224"
"46.516","4","49860608","12980224"
"47.594","4","49860608","12980224"
"48.671","4","49860608","12980224"
"49.751","4","49860608","12980224"
"50.831","4","49860608","12980224"
"51.91","4","49860608","12980224"
"52.976","4","49860608","12980224"
"54.045","4","49860608","12980224"
"55.124","4","49860608","12980224"
"56.192","4","49860608","12980224"
"57.262","4","49860608","12980224"
"58.342","4","49860608","12980224"
"59.413","4","49860608","12980224"
"60.48","4","49864704","12980224"
"61.55","4","49864704","12980224"
"62.624","4","49864704","12980224"
"63.7","4","49864704","12980224"
"64.783","4","49864704","12980224"
"65.856","4","49864704","12980224"
"66.927","4","49864704","12980224"
"67.991","4","49864704","12980224"
"69.06","4","49864704","12980224"
"70.14","4","49864704","12980224"
"71.219","4","49864704","12980224"
"72.298","4","49864704","12980224"
"73.362","4","49864704","12980224"
"74.445","4","49864704","12980224"
"75.52","4","49864704","12980224"
"76.591","4","49864704","12980224"
"77.662","4","49864704","12980224"
"78.712","4","49864704","12980224"
"79.787","4","49864704","12980224"
"80.853","4","49864704","12980224"
"81.93","4","49864704","12980224"
"83.001","4","49864704","12980224"
"84.08","4","49864704","12980224"
"85.158","4","49864704","12980224"
"86.228","4","49864704","12980224"
"87.303","4","49864704","12980224"
"88.379","4","49864704","12980224"
"89.454","4","49864704","12980224"
"90.529","4","49864704","12980224"
"91.597","4","49864704","12980224"
"92.665","4","49864704","12980224"
"93.743","4","49864704","12980224"
"94.819","4","49864704","12980224"
"95.895","4","49864704","12980224"
"96.984","4","49864704","12980224"
"98.049","4","49864704","12980224"
"99.127","4","49864704","12980224"
"100.206","4","49864704","12980224"
"101.271","4","49864704","12980224"
"102.344","4","49864704","12980224"
"103.429","4","49864704","12980224"
"104.499","4","49864704","12980224"
"105.575","4","49864704","12980224"
"106.642","4","49864704","12980224"
"107.709","4","49864704","12980224"
"108.784","4","49864704","12980224"
"109.865","4","49864704","12980224"
"110.941","4","49864704","12980224"
"112.021","4","49864704","12980224"
"113.095","4","49864704","12980224"
"114.175","4","49864704","12980224"
"115.247","4","49864704","12980224"
"116.321","4","49864704","12980224"
"117.396","4","49864704","12980224"
"118.472","4","49864704","12980224"
"119.544","4","49864704","12980224"
"120.621","4","49864704","12980224"
"121.692","4","49864704","12980224"
"122.758","4","49864704","12980224"
"123.837","4","49864704","12980224"
"124.913","4","49864704","12980224"
"125.989","4","49864704","12980224"
"127.066","4","49864704","12980224"
"128.136","4","49864704","12980224"
"129.214","4","49864704","12980224"
"130.29","4","49864704","12980224"
"131.368","4","49864704","12980224"
"132.433","4","49864704","12980224"
"133.506","4","49864704","12980224"
"134.586","4","49864704","12980224"
"135.669","4","49864704","12980224"
"136.736","4","49864704","12980224"
"137.81","4","49864704","12980224"
"138.883","4","49864704","12980224"
"139.945","4","49864704","12980224"
"141.006","4","49864704","12980224"
"142.062","4","49864704","12980224"
"143.138","4","49864704","12980224"
"144.229","4","49864704","12980224"
"145.287","4","49864704","12980224"
"146.367","4","49864704","12980224"
"147.438","4","49864704","12980224"
"148.501","4","49864704","12980224"
"149.575","4","49864704","12980224"
"150.642","4","49864704","12980224"
"151.716","4","49864704","12980224"
"152.794","4","49864704","12980224"
"153.869","4","49864704","12980224"
"154.943","4","49864704","12980224"
"156.018","4","49864704","12980224"
"157.097","4","49864704","12980224"
"158.177","4","49864704","12980224"
"159.25","4","49864704","12980224"
"160.32","4","49864704","12980224"
"161.395","4","49864704","12980224"
"162.465","4","49864704","12980224"
"163.539","4","49864704","12980224"
"164.617","4","49864704","12980224"
"165.691","4","49864704","12980224"
"166.772","4","49864704","12980224"
"167.844","4","49864704","12980224"
"168.908","4","49864704","12980224"
"169.978","4","49864704","12980224"
"171.034","4","49864704","12980224"
"172.105","4","49864704","12980224"
"173.169","4","49864704","12980224"
"174.247","4","49864704","12980224"
"175.317","4","49864704","12980224"
"176.387","4","49864704","12980224"
"177.454","4","49864704","12980224"
"178.53","4","49864704","12980224"
"179.609","4","49864704","12980224"
"180.675","4","49864704","12980224"
"181.753","4","49864704","12980224"
"182.827","4","49864704","12980224"
"183.895","4","49864704","12980224"
"184.964","4","49864704","12980224"
"186.018","4","49864704","12980224"
"187.085","4","49864704","12980224"
"188.148","4","49864704","12980224"
"189.22","4","49864704","12980224"
"190.291","4","49864704","12980224"
"191.365","4","49864704","12980224"
"192.43","4","49864704","12980224"
"193.504","4","49864704","12980224"
"194.571","4","49864704","12980224"
"195.643","4","49864704","12980224"
"196.708","4","49864704","12980224"
"197.781","4","49864704","12980224"
"198.853","4","49864704","12980224"
"199.925","4","49864704","12980224"
"200.989","4","49864704","12980224"
"202.063","4","49864704","12980224"
"203.14","4","49864704","12980224"
"204.226","4","49864704","12980224"
"205.303","4","49864704","12980224"
"206.378","4","49864704","12980224"
"207.453","4","49864704","12980224"
"208.526","4","49864704","12980224"
"209.602","4","49864704","12980224"
"210.682","4","49864704","12980224"
"211.756","4","49864704","12980224"
"212.826","4","49864704","12980224"
"213.883","4","49864704","12980224"
"214.963","4","49864704","12980224"
"216.026","4","49864704","12980224"
"217.095","4","49864704","12980224"
"218.145","4","49864704","12980224"
"219.209","4","49864704","12980224"
"220.278","4","49864704","12980224"
"221.352","4","49864704","12980224"
"222.417","4","49864704","12980224"
"223.482","4","49864704","12980224"
"224.55","4","49864704","12980224"
"225.624","4","49864704","12980224"
"226.689","4","49864704","12980224"
"227.767","4","49864704","12980224"
"228.842","4","49864704","12980224"
"229.907","4","49864704","12980224"
"230.978","4","49864704","12980224"
"232.048","4","49864704","12980224"
"233.114","4","49864704","12980224"
"234.181","4","49864704","12980224"
"235.246","4","49864704","12980224"
"236.32","4","49864704","12980224"
